step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.94247,0.0001,-5.73304e-05,0.0186374,1.39129,0.167962,63045,0.141946,,
3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.89643,0.0001,1.20206e-05,0.0844711,1.30441,0.127106,68671,0.142324,,
3902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.8547,0.0001,-5.49028e-05,0.165837,1.27276,0.126427,70258,0.142733,,
3903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.80859,0.0001,1.51777e-05,0.0828015,1.28098,0.129588,69690,0.143066,,
3904,0,0,0.00105047,0.00105047,0.00437607,0,0.112988,0,0.00846291,-0.000134866,0.00806678,0.0245978,0.00867258,0,0.0562281,0,0.172632,0.0414123,0,0.0132533,0.0612433,0.464044,0.0668691,0.00359741,0.102116,0.421013,0,0.0238231,0,0,0,0,0.00018136,0.0475137,0.11972,0.00285677,0.00820067,0.00865913,-0.00211886,-0.00218413,0.0560731,0.00788483,1.49476,0.207235,0.499645,0.114066,0.0747875,-0.0926322,-0.0416667,-0.000866924,0,0,1.20833,0,0,0,0,0,-9.78096,0.0001,0.0130521,0.489749,1.37283,0.127693,65513,0.143222,119.759,-2.03695
3905,0,0,0.00756787,0.00756787,0.0484736,0,0.892568,0,0.0634192,0.000782479,0.0615655,0.217144,0.0505714,0,0.555334,0,1.63803,0.211068,0,0.0826349,0.419423,3.74559,0.528459,0.0793545,0.807673,3.31361,0,0.210457,0,0,0,0,0.00129852,0.34733,0.961816,0.0529307,0.0634251,0.0653684,-0.000341448,-0.00208343,0.431501,0.0623318,9.65457,0.337724,4.45616,0.884975,0.590582,-1.43766,-0.333333,-0.0108795,0,33.7917,38.9167,0,0,0,0,0,-9.77175,0.0001,0.00790548,0.26595,1.82494,0.131284,50252,0.143279,143.35,-2.10609
3906,0.000441972,0.00118185,0.00640232,0.00640232,0.067995,0.000357433,0.876817,0.00126518,0.056348,0.00140672,0.0551632,0.20394,0.0573198,0,0.631002,1.96628e-05,1.66787,0.231442,0,0.0756755,0.404108,3.95662,0.559338,0.196708,0.787594,3.07499,0.000467693,0.202386,0,0,0,0,0.000801875,0.361451,0.958781,0.115024,0.0569831,0.0577141,0.00893113,0.00769587,0.465481,0.0568501,6.81645,-0.531775,6.17312,0.802703,0.516737,-3.24168,-0.333333,-0.017756,0.00149075,14.7917,17.25,0,0,0.0416667,0,0,-9.76656,0.0001,-0.00107536,0.118466,1.71456,0.131418,53253,0.14336,167.25,-2.08258
3907,0.0577757,0.19411,0.00554834,0.00554834,0.140948,0.0525248,0.853874,0.20066,0.0533774,0.0137093,0.0510378,0.204892,0.0567255,0,0.733537,0.0116399,1.82943,0.203778,0,0.077554,0.544217,4.33755,0.620104,0.303683,0.722602,2.70942,0.0600925,0.203157,0,0.116603,0,0,-0.000582383,0.282277,0.964411,0.181264,0.0514907,0.054354,0.00467339,0.0043298,0.453097,0.0506016,4.40485,-1.77181,8.7452,0.714121,0.605178,-4.64096,-0.333333,-0.042793,0.274175,14.9583,64,0,0,3.29167,8.75,0,-9.75626,0.0001,0.000489709,0.0321033,1.74286,0.129605,52499,0.143489,191.15,0.792763
3908,0.11615,0.431372,0.00489559,0.00489559,0.184933,0.105813,0.832598,0.518624,0.0481958,0.0180264,0.0462366,0.19668,0.0507512,0,0.794026,0.0448511,1.95532,0.173551,0,0.0686927,0.615021,4.68573,0.663232,0.385603,0.64207,2.3954,0.140308,0.194515,0,0.638834,0,0,-0.00102493,0.246102,0.971515,0.284266,0.045478,0.0480863,0.00611101,0.0051913,0.476586,0.0447616,4.52681,-1.01272,8.82019,0.680473,0.516068,-7.02285,-0.333333,-0.0628934,0.613108,1.58333,7.875,0,0,1.875,5.04167,0,-9.73974,0.0001,-0.000306196,0.0130157,1.71854,0.126521,53279,0.143652,206.28,1.4287
3909,0.11111,0.485,0.00466294,0.00466294,0.198053,0.109382,0.823151,0.808611,0.0479273,0.0161681,0.045319,0.183689,0.0829463,0,0.778959,0.0805215,1.73712,0.200312,0,0.0807901,0.680787,4.92125,0.686503,0.417574,0.603199,2.13318,0.185747,0.179274,0,0.916667,0,0,-0.00109557,0.22833,0.970693,0.334608,0.0442279,0.0471997,0.011693,0.0110586,0.527349,0.0438317,7.37623,0.194424,9.04387,0.682717,0.467078,-8.31845,-0.333333,-0.0728369,0.686336,0.25,1.125,0,0,0.208333,0.166667,0,-9.72167,0.0001,0.00110088,0.046698,1.431,0.135351,62759,0.143781,206.84,1.4441
