step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.54743,0.0001,-0.000154321,0.000735533,1.27665,0.151986,68809,0.165162,,
4901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.57164,0.0001,-0.000151358,0.00285241,1.19606,0.122298,74565,0.164801,,
4902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.5853,0.0001,-2.84982e-05,0.00915167,1.21055,0.119943,73885,0.164657,,
4903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.58477,0.0001,-5.84905e-05,0.0106996,1.21896,0.124221,73187,0.164665,,
4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.58584,0.0001,-0.000704303,0.066899,1.22708,0.124918,72710,0.164692,,
4905,0,0,0.00588086,0.00588086,0.0238662,0,0.689431,0,0.0478438,-0.000836634,0.046412,0.144576,0.0695979,0,0.38757,0,1.39352,0.279399,0,0.0846166,0.305704,2.92299,0.398436,0.0702167,0.664241,2.76732,0,0.143869,0,0,0,0,0.00161121,0.347509,0.755022,0.0444938,0.0476985,0.0495199,-0.0144543,-0.0134798,0.275931,0.0458769,5.10228,1.93955,4.83167,0.663603,0.404695,-1.69815,-0.263889,-0.00536181,0,0.583333,1.29167,0,0,0,0,0,-7.58448,0.0001,-0.000649545,0.0871748,1.47202,0.122496,61651,0.164704,137,-2.04009
4906,0.00249489,0.00729167,0.00643563,0.00643563,0.0375681,0.00224082,0.847189,0.00729167,0.0588544,-0.000984258,0.058205,0.186446,0.0842928,0,0.585975,0.000139531,1.90244,0.316171,0,0.0872148,0.344119,3.50707,0.489855,0.192528,0.836861,3.52908,0.00249489,0.188184,0,0,0,0,0.00138841,0.408749,0.945038,0.0698044,0.0593688,0.0598682,-0.00565374,-0.00503677,0.371958,0.0574236,4.80341,3.02852,8.80368,0.723698,0.502801,-4.11866,-0.333333,-0.00983389,0.00978324,1.20833,1.54167,0,0,0.166667,0,0,-7.58394,0.0001,-0.00166709,0.316218,1.39482,0.120234,64884,0.164719,144.866,-2.02451
4907,0.061185,0.205144,0.00554977,0.00554977,0.108556,0.0551356,0.819113,0.205358,0.0562025,0.0121549,0.05389,0.218019,0.0725228,0,0.774784,0.0122735,2.07696,0.258752,0,0.0901215,0.457588,4.09361,0.578421,0.303504,0.739251,2.97373,0.0612464,0.214784,0,0.112364,0,0,0.000770315,0.339531,0.954652,0.120034,0.0551277,0.0573474,-1.47164e-05,-0.000915735,0.417785,0.0529508,5.27217,2.19294,11.6536,0.643085,0.682971,-5.57549,-0.333333,-0.0332131,0.262823,24.4583,23,0,0,2.83333,30.4167,0,-7.58202,0.0001,3.84423e-05,0.0502608,1.57824,0.125909,57685,0.164735,192,1.36291
4908,0.162419,0.640827,0.00489559,0.00489559,0.186991,0.156359,0.797872,0.688502,0.052354,0.021322,0.0499744,0.213912,0.046778,0,0.863302,0.0652672,2.04361,0.174712,0,0.0782785,0.573829,4.46561,0.633201,0.385603,0.65795,2.59595,0.175444,0.211333,0,0.888653,0.0214092,0,-0.000455392,0.259782,0.960061,0.212382,0.0502207,0.0530155,0.0050363,0.00417115,0.447866,0.0485275,3.97062,1.74339,12.2794,0.617309,0.65577,-7.22502,-0.333333,-0.0637922,0.821139,45.1667,51.3333,0,0,12.75,39.0833,0,-7.5809,0.0001,-0.000566406,0.00336757,1.64128,0.119622,55826,0.164742,215.28,2.95535
4909,0.160103,0.708483,0.00438112,0.00438112,0.182479,0.155017,0.778445,0.912556,0.0463604,0.025454,0.0447127,0.192678,0.045721,0,0.872862,0.102624,2.13842,0.158421,0,0.0682643,0.630149,4.79928,0.675303,0.45017,0.594029,2.31871,0.212881,0.191129,0,0.933958,0.475843,0,-0.00118482,0.242831,0.963902,0.299358,0.0446803,0.046257,0.00573011,0.00466161,0.480721,0.0434893,2.69188,0.169793,11.028,0.637988,0.571807,-8.3507,-0.333333,-0.0694754,0.915073,2.45833,3.83333,0,0,3.08333,5.75,0,-7.58022,0.0001,-0.000560532,0.00332226,1.52882,0.117935,59695,0.164729,228.1,2.91821
4910,0.191771,0.931667,0.00411736,0.00411736,0.164097,0.191771,0.753784,1.03583,0.0473633,0.028397,0.0452917,0.184462,0.0353254,0,0.877151,0.114025,2.18799,0.122513,0,0.0660007,0.703722,4.86524,0.691451,0.483271,0.559184,2.18853,0.215628,0.180301,0,1,0.9375,0,-0.00176637,0.251317,0.968427,0.325063,0.0442212,0.0464233,0.0106071,0.00938542,0.505331,0.0434905,1.89936,0.581534,10.8852,0.639286,0.558984,-9.56212,-0.333333,-0.0664302,1.14574,0,0,0,0,0,1.04167,0,-7.57751,0.0001,-0.000869629,0.00783053,1.2423,0.120327,72143,0.164711,228.86,2.87266
4911,0.197531,0.96,0.00411523,0.00411523,0.165914,0.197531,0.753125,1.06,0.0478138,0.0274424,0.0456597,0.185574,0.0320107,0,0.883038,0.117778,2.19695,0.114241,0,0.0659992,0.703704,4.84567,0.690101,0.483539,0.559671,2.19488,0.218107,0.1814,0,1,1,0,-0.0017436,0.247924,0.968811,0.324011,0.0444998,0.046806,0.0108228,0.00958896,0.505391,0.0438212,1.89167,0.756695,10.9828,0.636445,0.565269,-9.66966,-0.333333,-0.067195,1.17798,0,0,0,0,0,1,0,-7.5682,0.0001,-0.00137278,0.0143833,1.18817,0.120671,75107,0.164887,228.86,2.87266
4912,0.00823045,0.04,0.00704753,0.00704753,0.0428027,0.00823045,0.861397,0.0441667,0.0645146,-0.000246139,0.0624406,0.202744,0.055329,0,0.574981,0.00490741,1.73442,0.221748,0,0.0712405,0.345116,3.56925,0.512448,0.12764,0.81221,3.30905,0.00908779,0.19984,0,0.0416667,0.0416667,0,0.00147608,0.270001,0.955288,0.0311485,0.0655339,0.0660543,-0.00819768,-0.00778456,0.328275,0.0633936,3.74662,3.74209,7.94045,0.778787,0.428955,-3.1087,-0.333333,-0.0111452,0.0490823,1.125,0.0416667,0,0,0,0.0416667,0,-7.5532,0.0001,-0.000421106,0.0710405,1.24963,0.121677,71686,0.165046,225.56,2.70441
4913,0.0614617,0.215734,0.00591659,0.00591659,0.105651,0.056778,0.830631,0.219028,0.0597875,0.00800739,0.0570669,0.214967,0.0635026,0,0.735071,0.0134232,2.02214,0.242885,0,0.0928704,0.453446,3.99911,0.559998,0.261912,0.755483,3.09922,0.0622796,0.211458,0,0.107143,0,0,0.00075019,0.315855,0.957999,0.101669,0.0578715,0.0608117,-0.00133263,-0.00209039,0.402602,0.0558312,4.85975,4.41568,11.5715,0.661737,0.646106,-6.19232,-0.333333,-0.0323634,0.28051,0.916667,1.33333,0,0,0.0416667,1.20833,0,-7.54609,0.0001,0.00536884,0.084741,1.52279,0.121186,59796,0.165095,196.75,0.845866
4914,0.0494435,0.173528,0.0060082,0.0060082,0.0879602,0.0447022,0.831655,0.193806,0.0584605,0.00754081,0.0564437,0.206099,0.0717704,0,0.696225,0.0137133,2.04593,0.253398,0,0.0938108,0.414652,3.89195,0.54616,0.248046,0.765702,3.15919,0.0541901,0.204074,0,0.15,0,0,0.000717811,0.35303,0.953067,0.107623,0.0570113,0.0596734,-0.00390784,-0.00398671,0.398024,0.054916,4.86253,3.42845,10.7349,0.685061,0.613611,-5.326,-0.333333,-0.0270214,0.223004,1.375,1.79167,0,0,0.291667,0.583333,0,-7.54448,0.0001,0.000153741,0.240027,1.58537,0.122629,57554,0.165091,170.49,-0.690609
4915,0.0922412,0.315967,0.00540271,0.00540271,0.142003,0.0836023,0.816053,0.318539,0.0577386,0.0129386,0.0550109,0.222275,0.0495345,0,0.808528,0.0192134,2.03095,0.192697,0,0.0837024,0.512828,4.14921,0.585869,0.322026,0.728365,2.89879,0.0934069,0.217931,0,0.172401,0.00398035,0,0.000459254,0.286017,0.960707,0.131844,0.0555397,0.0585997,0.00448938,0.0036989,0.436367,0.0537556,5.23986,4.17286,12.8713,0.607981,0.670469,-7.16717,-0.333333,-0.0444043,0.406956,11.9167,15.0417,0,0,2.25,33.0833,0,-7.54673,0.0001,-0.00114591,0.10257,1.58033,0.121471,57764,0.165059,192.01,0.958304
4916,0.138422,0.520375,0.00509001,0.00509001,0.175561,0.131115,0.805865,0.536527,0.0550011,0.0174716,0.0523221,0.220098,0.0462162,0,0.849703,0.0434903,2.0222,0.177662,0,0.0809399,0.551596,4.33383,0.614591,0.361203,0.687302,2.71333,0.143026,0.216265,0,0.617085,0.00868156,0,-0.000187534,0.261991,0.961181,0.177015,0.0525425,0.0555267,0.00529387,0.0043884,0.445133,0.050823,4.54825,3.14889,12.8311,0.603061,0.671023,-7.43944,-0.333333,-0.0577785,0.668396,30.3333,36.2083,0,0,8.66667,45.9167,0,-7.5484,0.0001,-0.00163618,0.0135862,1.63236,0.121604,56046,0.165051,200.94,2.15431
4917,0.159946,0.649795,0.00478327,0.00478327,0.18666,0.154344,0.793743,0.734995,0.0514666,0.0212618,0.0491487,0.209357,0.0453624,0,0.864792,0.0730529,2.05879,0.167604,0,0.0763748,0.586113,4.52675,0.640946,0.399699,0.647,2.54242,0.182148,0.206691,0,0.874381,0.13528,0,-0.000621216,0.25732,0.96171,0.229095,0.0492184,0.0518219,0.00638668,0.00545667,0.459275,0.047696,3.84836,1.89667,12.2525,0.614611,0.643199,-7.7087,-0.333333,-0.0653378,0.834706,9.70833,12.9583,0,0,5.29167,14.2917,0,-7.54558,0.0001,-0.000950256,0.00369866,1.62464,0.121279,56304,0.165122,213.02,2.81949
4918,0.162223,0.687153,0.00448058,0.00448058,0.1857,0.153763,0.780223,0.861597,0.0476223,0.0234534,0.045789,0.199825,0.0541252,0,0.880012,0.0921367,2.13412,0.174934,0,0.0736721,0.621428,4.69002,0.664328,0.437687,0.606296,2.35818,0.210768,0.197161,0,0.961806,0.336806,0,-0.00126532,0.248433,0.963726,0.281649,0.0456423,0.0474291,0.00799667,0.00675405,0.469603,0.0445083,3.64865,0.828418,11.5222,0.626328,0.596225,-8.28902,-0.333333,-0.0689415,0.880141,0.625,1.20833,0,0,0.5,1.25,0,-7.54125,0.0001,-0.00119345,0.00710754,1.53844,0.122228,59195,0.165132,216.15,2.79905
