step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.58131,0.0001,-0.000208867,0.000363824,1.4383,0.182301,60659,0.177776,,
6901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.61521,0.0001,-0.000200816,0.00275222,1.40106,0.14142,63731,0.177204,,
6902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.64484,0.0001,-0.000140998,0.0069656,1.38332,0.138472,64597,0.176842,,
6903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66511,0.0001,-0.00012509,0.00670468,1.38276,0.141435,64495,0.176597,,
6904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.67955,0.0001,0.00168225,0.0184497,1.38468,0.147499,64159,0.176518,,
6905,0.707755,0,0,0,0.00732256,0,0.00732256,0.0190173,0,0.653183,0,0.057468,-0.00129635,0.0571425,0.211814,0.0777029,0,0.537749,0,1.85027,0.302279,0,0.0832918,0.380457,3.54561,0.491851,0.0716614,0.80121,3.26267,0,0.206971,0,0,0,0,0.000767239,0.319024,0.903139,0.0464359,0.0580707,0.0584026,-0.00853537,-0.0115671,0.433396,0.0562447,13.4719,1.00817,4.28313,0.836317,0.446178,-1.65159,-0.319444,0,-0.00411559,0,0.625,0.583333,0,0,0,0,0,-6.68097,0.0001,0.0244851,0.0380778,1.75396,0.139464,51918,0.176523,137.571,-2.01766
6906,0.884831,0.00818903,0.0229167,0.0917713,0.0064943,0,0.0064943,0.0375546,0.00715383,0.640791,0.0229167,0.0603401,-0.000143145,0.0602596,0.218098,0.0596515,0,0.656128,0.000449934,2.11254,0.25464,0,0.0771185,0.314352,3.73476,0.516107,0.185451,0.822043,3.41983,0.00818903,0.213275,0,0,0,0,0.00086526,0.340528,0.958391,0.0606938,0.0626573,0.0613386,0.00651321,0.00646659,0.369049,0.0619244,6.38698,2.88516,8.10262,0.754232,0.542777,-3.9788,-0.333333,0,-0.00981315,0.0178218,1.41667,0.416667,0,0,0.458333,0,0,-6.68058,0.0001,0.000899176,0.302956,1.55423,0.145445,57836,0.17652,145.741,-1.99495
6907,1.79523,0.0739249,0.213855,0.316037,0.00554977,0.000439969,0.00554977,0.109939,0.0579205,0.610698,0.213855,0.0567238,0.0155369,0.0544309,0.255638,0.0624983,0,0.906286,0.011921,2.15448,0.229658,0,0.0799187,0.4773,4.24452,0.600472,0.303504,0.699169,2.77868,0.0739249,0.251141,0,0.080584,0,0,0.000553666,0.283816,0.962889,0.120745,0.0570892,0.0583509,0.00462984,0.00367627,0.436167,0.0557165,8.31763,0.324199,10.2901,0.67925,0.687863,-5.01443,-0.333333,0.013584,-0.0334124,0.165651,19.0417,9.29167,0,0,1.125,13.6667,0,-6.68162,0.0001,0.0025205,0.0998918,1.82806,0.14826,49740,0.176487,191.9,-0.164683
6908,1.95881,0.192501,0.670427,0.386207,0.00489559,0.000836697,0.00489559,0.188808,0.162996,0.590558,0.673395,0.0514079,0.0255527,0.0495036,0.254909,0.0515759,0,1.03311,0.067927,2.18433,0.190825,0,0.0707181,0.552211,4.56174,0.644605,0.385603,0.630741,2.50699,0.193452,0.253138,0,0.761749,0.114368,0,-0.000519549,0.256341,0.965994,0.201328,0.0520496,0.0529105,0.00679195,0.0059547,0.445214,0.0505186,6.83492,-2.15211,9.74595,0.682815,0.620544,-5.33634,-0.333333,0.0285009,-0.0645457,0.510899,77.5417,16.1667,0,0,1.625,24.9583,0,-6.68276,0.0001,0.0010262,0.0158172,1.84557,0.142251,49453,0.176496,215.64,1.59482
6909,2.16017,0.235721,0.954434,0.391239,0.00438039,0.000830817,0.00438039,0.229681,0.208944,0.566284,0.99376,0.0469751,0.0319815,0.0452309,0.238298,0.0501395,0,1.08194,0.125566,2.22449,0.177789,0,0.0667095,0.599052,4.83198,0.680103,0.450261,0.566434,2.26004,0.253911,0.237136,0,0.937741,0.582092,0,-0.00116975,0.236833,0.96713,0.272368,0.0475424,0.0480087,0.00580587,0.00509518,0.454647,0.0458293,6.00343,-3.07908,9.3766,0.690175,0.574931,-6.36909,-0.333333,0.0316578,-0.0874941,0.727795,26.375,3.33333,0,0,0.333333,5.16667,0,-6.68061,0.0001,0.000629796,0.00227108,1.86413,0.144069,48951,0.176536,236.83,1.98523
