step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.67023,0.0001,-0.000140541,0.000575347,1.20522,0.142156,72959,0.174902,,
5901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.69644,0.0001,-0.000187318,0.00437236,1.15941,0.115829,77086,0.174449,,
5902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.72473,0.0001,-0.000104221,0.00896216,1.15991,0.115654,77067,0.174146,,
5903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.73933,0.0001,-7.47242e-05,0.0188869,1.17243,0.117622,76201,0.174009,,
5904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.74097,0.0001,-0.0012836,0.0308737,1.20263,0.118643,74401,0.174016,,
5905,0.421112,0,0,0,0.00555958,0,0.00555958,0.00800868,0,0.507442,0,0.0438865,-0.000967619,0.0437138,0.153487,0.0663361,0,0.407358,0,1.39881,0.272524,0,0.0736055,0.263521,2.7202,0.3781,0.0673504,0.621382,2.59698,0,0.151378,0,0,0,0,0.00093069,0.27808,0.710875,0.0389268,0.044737,0.0449071,-0.0152328,-0.0150296,0.298788,0.0433284,8.29254,-0.0656915,3.44109,0.654162,0.391235,-1.4984,-0.25,0,-0.0018144,0,0.541667,0.833333,0,0,0,0,0,-6.73663,0.0001,0.00557468,0.0536702,1.48208,0.116072,61510,0.174059,136.1,-2.01545
5906,0.717627,0,0,0,0.0064347,0,0.0064347,0.0251857,0,0.66861,0,0.054201,0.00496097,0.0534757,0.211772,0.10966,0,0.644091,0,1.98414,0.356814,0,0.103042,0.381008,3.98937,0.55397,0.192707,0.775551,3.13694,0,0.207444,0,0,0,0,0.00148197,0.367314,0.955836,0.0847664,0.0564618,0.0564658,-0.0102508,-0.0116517,0.419424,0.0544167,10.8047,-0.0295882,7.12392,0.773185,0.632288,-3.03893,-0.333333,0,-0.00672417,0,0.833333,0.375,0,0,0,0,0,-6.73574,0.0001,-0.00102837,0.438897,1.38168,0.121361,65403,0.174041,143,-2.02206
5907,1.71127,0.0710172,0.220803,0.230852,0.00555405,1.77181e-05,0.00555405,0.099667,0.0595806,0.625156,0.221312,0.057151,0.0131596,0.0545242,0.236942,0.0724105,0,0.837366,0.0129224,2.12712,0.255612,0,0.0918259,0.449128,4.17462,0.594638,0.302966,0.703837,2.79804,0.071152,0.231951,0,0.112491,0,0,0.00056705,0.303091,0.961555,0.127382,0.0559695,0.0586048,0.00150732,0.000829089,0.438383,0.0543993,7.61232,1.30074,10.8659,0.668572,0.721767,-5.76903,-0.333333,0.000545678,-0.030442,0.18431,26.0417,15.4167,0,0,0.625,20.875,0,-6.7368,0.0001,0.000339552,0.0996573,1.58184,0.124695,57604,0.174031,192,0.146386
5908,2.34961,0.188394,0.701097,0.320542,0.00489559,2.2702e-05,0.00489559,0.183972,0.170687,0.608695,0.71266,0.0525262,0.0207067,0.0500609,0.234828,0.0492895,0,0.94614,0.0729533,2.10699,0.191808,0,0.0759758,0.567331,4.54991,0.643563,0.385603,0.633915,2.50351,0.19165,0.231528,0,0.833322,0.101576,0,-0.000398052,0.247801,0.964917,0.213155,0.051237,0.0534323,0.00597427,0.00519967,0.450458,0.0499548,5.7865,-0.0935815,10.6807,0.659703,0.643852,-6.77831,-0.333333,0.000767904,-0.0628537,0.577717,65.125,34.625,0,0,1.45833,30.7917,0,-6.73632,0.0001,-0.00102969,0.00766601,1.68206,0.123604,54442,0.174064,215.57,1.89462
5909,2.49668,0.202941,0.859736,0.327658,0.00438039,1.97876e-05,0.00438039,0.1997,0.188241,0.582258,0.949392,0.0480227,0.0242862,0.0457828,0.215443,0.0479574,0,0.968,0.110751,2.28841,0.171784,0,0.0706957,0.614163,4.83838,0.681075,0.450261,0.567942,2.2413,0.23139,0.211944,0,0.957919,0.467891,0,-0.000920283,0.232298,0.967434,0.292975,0.0465789,0.0482601,0.00637057,0.00540374,0.46442,0.0454235,4.48983,-0.340474,10.4453,0.657356,0.585472,-8.31321,-0.333333,0.000747529,-0.0760484,0.708882,18.5833,16.125,0,0,2.5,16.4167,0,-6.73495,0.0001,-0.000417961,0.00228178,1.66497,0.124075,54947,0.174029,235.62,1.73253
