step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.92649,0.0001,-0.000213294,0.000553758,1.58537,0.192135,55304,0.186275,,
7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.95724,0.0001,-0.000252611,0.00296222,1.50342,0.15963,59110,0.1857,,
7902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98534,0.0001,-9.49427e-05,0.0157071,1.51337,0.154671,58933,0.185361,,
7903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.99915,0.0001,-9.09163e-05,0.00818038,1.4389,0.128851,62703,0.185152,,
7904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0058,0.0001,0.000698023,0.0242088,1.31147,0.138262,67808,0.185102,,
7905,0.590547,0,0,0,0.00660142,0,0.00660142,0.00922061,0,0.588235,0,0.0539338,-0.00107443,0.0529246,0.179405,0.0798123,0,0.463651,0,1.70131,0.332164,0,0.0910669,0.311414,3.15201,0.44769,0.0709093,0.704261,2.9062,0,0.175903,0,0,0,0,0.000253261,0.372143,0.825809,0.0459323,0.0532845,0.0542187,-0.00416711,-0.0060367,0.377785,0.051704,11.1383,1.02551,3.91107,0.750308,0.403765,-1.66109,-0.291667,0,-0.00204554,0,0.833333,0.583333,0,0,0,0,0,-6.00353,0.0001,0.0110789,0.0520838,1.84196,0.151534,49312,0.185119,136.267,-2.01358
7906,0.902393,0.00265986,0.00722222,0.0224186,0.00641682,3.78841e-06,0.00641682,0.0228378,0.00216135,0.626501,0.00722222,0.0587174,0.00243991,0.0577865,0.211664,0.0858248,0,0.646491,0.000249461,2.31928,0.303489,0,0.0946196,0.29892,3.73792,0.520698,0.194993,0.79018,3.3273,0.00265986,0.206882,0,0,0,0,0.00175745,0.398329,0.961115,0.0716808,0.0608038,0.061064,-0.00373042,-0.00343825,0.36481,0.059509,7.32966,1.04009,7.68776,0.752032,0.67091,-3.68956,-0.333333,0.000105444,-0.00606763,0.00553095,1.375,0.625,0,0,0.0416667,0,0,-6.0038,0.0001,0.0026239,0.311022,1.88496,0.153362,48227,0.185107,151.396,-1.98697
7907,1.57959,0.0658362,0.18155,0.318263,0.0055512,0.00048167,0.0055512,0.0990447,0.0491002,0.589198,0.18155,0.0573633,0.0178155,0.0551843,0.253606,0.0700215,0,0.900503,0.0101392,2.39543,0.233415,0,0.0846664,0.43558,4.23826,0.595106,0.303323,0.700275,2.8225,0.0658362,0.249821,0,0.0737559,0,0,0.000580428,0.307876,0.96399,0.113488,0.0581063,0.0593029,0.0038594,0.00275752,0.404231,0.0566189,7.41286,-0.505597,10.1476,0.680909,0.694486,-4.62253,-0.333333,0.0149759,-0.0300975,0.128298,7.83333,3.875,0,0,0.208333,4.125,0,-6.00534,0.0001,0.00234883,0.135535,1.94818,0.154259,46757,0.185107,190.53,-0.396034
7908,2.19503,0.182751,0.557733,0.440474,0.00489559,0.0014088,0.00489559,0.180179,0.135751,0.577384,0.558108,0.0541537,0.0243564,0.0517804,0.266955,0.0469835,0,1.07779,0.0514631,2.28422,0.18393,0,0.0770086,0.517518,4.52933,0.63652,0.385603,0.630742,2.53465,0.182905,0.264002,0,0.583898,0.0393262,0,-0.000218178,0.266976,0.967561,0.201789,0.0533594,0.0553105,0.00714501,0.00629712,0.43341,0.0521595,7.66093,-0.130929,10.6,0.643175,0.626699,-6.62594,-0.333333,0.0480099,-0.0616034,0.394358,22.4167,11.5,0,0,1.91667,12.25,0,-6.0052,0.0001,0.000208236,0.0456819,2.00247,0.160203,45454,0.185116,214.66,0.817544
7909,2.15573,0.242342,0.838048,0.433269,0.00438039,0.00127051,0.00438039,0.221216,0.18312,0.548611,0.846671,0.0487969,0.030625,0.046743,0.250601,0.0475646,0,1.13061,0.102492,2.36002,0.179644,0,0.074008,0.571359,4.80963,0.676284,0.450261,0.565275,2.26835,0.247565,0.247742,0,0.847861,0.386551,0,-0.000813398,0.259431,0.968303,0.274926,0.0484696,0.0496847,0.00657345,0.00584764,0.446537,0.0472459,7.72052,-1.19127,10.2188,0.643229,0.574848,-7.46411,-0.333333,0.0483242,-0.084339,0.58522,14.375,7.125,0,0,1,8.29167,0,-6.00302,0.0001,0.000356948,0.00511385,1.96607,0.154681,46353,0.185146,237.89,1.39695
