step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
8500,0.000834837,0.0568182,0.0175,0.0484705,0.00568182,0,0.00568182,0.0795056,0.0397727,0.088447,0.0175,0.00103991,0.00400504,0.00105935,0.0500885,0.000941894,0,0.0217218,0.00352273,0.654114,0.012414,0.0590988,0.00614924,0.0738636,0.935133,0.124669,0.125,0.00568182,0.00277064,0.0568182,0.0497165,0,0,0,0,-0.000717542,0.0123502,0.12454,0.12087,0.000498262,0.000679842,-0.000159465,-0.000175606,0.0697551,0.000592156,0.477216,-0.185758,1.87946,0.0254788,0.0631062,-2.06522,-0.0735294,0,-0.00514447,0.0401057,0,0,0,0,0.125,0,0,-5.27661,0.0001,0.00564229,0.939364,1.36952,0.173724,63699,0.19627,22,-1.04905
8501,0.717922,0.494127,0.22227,0.507856,0.0286789,0.00571152,0.0286789,0.513225,0.295598,0.638754,0.22227,0.0356336,0.0801078,0.0225687,0.428813,0.0168912,0,0.319614,0.0527981,4.91826,0.12406,0.519331,0.110009,0.559662,6.46238,0.94706,1,0.00574026,0.0492294,0.494127,0.443416,0,0.0351478,0,0,-0.00385817,0.145911,0.923057,0.615478,0.0241838,0.0369218,0.00474992,0.00121204,0.461526,0.0198176,4.03045,-5.51247,24.3965,0.273123,1.68657,-12.1258,-0.588235,0.0683738,-0.0553491,0.539468,12.4167,29.7083,0,0,7.20833,32.25,0,-5.27838,0.0001,4.37049e-05,0.37383,1.71706,0.132691,53144,0.196257,47.83,0.977382
8502,1.07419,0.687354,0.547,0.525133,0.0173973,0.00915202,0.0173973,0.610814,0.456483,0.617418,0.547,0.0291417,0.0915871,0.0193031,0.369659,0.0172014,0,0.45284,0.16961,3.78505,0.170238,0.513621,0.0926513,0.740416,6.64562,0.965023,1,0.00107189,0.0204255,0.687367,0.388579,0,0.546363,0.0407808,0,-0.00548964,0.117008,0.93468,0.677028,0.0205526,0.0306176,0.0027511,0.000888274,0.502496,0.0165078,5.17153,-8.74168,20.2284,0.351322,1.07432,-11.121,-0.588235,0.158995,-0.10677,1.2594,32.2083,12.8333,0,0,3.79167,23.0833,0,-5.27846,0.0001,-0.00169079,0.420601,1.74224,0.133123,52418,0.196293,62.67,2.98111
8503,1.13678,0.636804,0.517642,0.520031,0.0192395,0.00809658,0.0192395,0.580762,0.422922,0.605026,0.523063,0.032143,0.0867974,0.0211084,0.368561,0.0201704,0,0.421404,0.158015,3.94474,0.154802,0.514745,0.0999474,0.707225,6.58069,0.959133,1,0.00164142,0.0327913,0.64324,0.385847,0,0.420547,0.129202,0,-0.0048377,0.12414,0.934123,0.66311,0.0217167,0.033029,0.00336282,0.00100005,0.487492,0.0177756,4.94372,-5.93586,21.9571,0.310767,1.22207,-12.6854,-0.588235,0.13386,-0.101552,1.16046,16.0417,13.7083,0,0,2.875,17.5417,0,-5.27885,0.0001,-0.000652179,0.283786,1.71151,0.128902,53414,0.19629,58.91,1.9426
8504,1.24124,0.643497,0.567075,0.519106,0.0173254,0.00808684,0.0173254,0.58391,0.429211,0.603151,0.570103,0.0300542,0.0869962,0.0200337,0.351501,0.0206507,0,0.441285,0.16558,3.74962,0.158239,0.514594,0.0940292,0.741221,6.62206,0.962652,1,0.00138961,0.0282644,0.647798,0.368623,0,0.522141,0.116205,0,-0.0051454,0.119627,0.936417,0.682901,0.0205826,0.0308101,0.00288139,0.000918571,0.494017,0.0167828,5.38299,-6.64596,20.9013,0.328484,1.10449,-12.5268,-0.588235,0.145406,-0.110688,1.28394,20.6667,13.875,0,0,2.95833,16.375,0,-5.28085,0.0001,0.0011926,0.255036,1.72788,0.138618,52667,0.196303,68.5,2.6545
8505,1.20999,0.634581,0.604816,0.519392,0.0164894,0.00758001,0.0164894,0.574386,0.423004,0.596898,0.608909,0.0291647,0.0855796,0.0195279,0.335511,0.0218345,0,0.44836,0.173932,3.71485,0.157237,0.513628,0.0920711,0.755315,6.66703,0.964313,1,0.00168691,0.034296,0.640421,0.35237,0,0.566146,0.170539,0,-0.00514468,0.116841,0.939474,0.696126,0.019832,0.0297184,0.00234012,0.000587013,0.495247,0.0162044,5.31075,-6.16561,20.4932,0.332123,1.05469,-12.9075,-0.588235,0.145387,-0.117455,1.36212,15.125,10.0417,0,0,2.66667,12.875,0,-5.27989,0.0001,-0.00185496,0.227625,1.73592,0.134795,52548,0.196339,71.55,2.51234
8506,1.25035,0.614774,0.624707,0.519561,0.0162284,0.007656,0.0162284,0.558182,0.422125,0.594392,0.628288,0.0290262,0.0834968,0.0194714,0.330177,0.0227827,0,0.448885,0.173119,3.66879,0.155612,0.513223,0.0907796,0.759031,6.65972,0.966811,1,0.00136666,0.0279357,0.619666,0.346237,0,0.561884,0.191386,0,-0.00505865,0.11652,0.940598,0.702707,0.0195613,0.0293697,0.00237656,0.000585255,0.493666,0.0160565,5.43926,-5.63459,20.5129,0.326132,1.04661,-13.3016,-0.588235,0.148192,-0.117903,1.41031,14.2917,11.5,0,0,2.75,13.9167,0,-5.27787,0.0001,-8.92043e-05,0.202752,1.71321,0.135404,53177,0.196375,75.68,2.83662
8507,1.16884,0.615971,0.624674,0.51887,0.0162779,0.00727764,0.0162779,0.563032,0.420614,0.595525,0.629083,0.0281635,0.0858084,0.0189527,0.329424,0.0222513,0.000103648,0.4478,0.172752,3.66126,0.151204,0.514819,0.0890021,0.761219,6.68392,0.966803,1,0.00110045,0.0209487,0.621662,0.344323,0,0.58837,0.174969,0,-0.00519451,0.118823,0.939471,0.704949,0.0193355,0.0285732,0.0027022,0.000920913,0.500252,0.015707,5.84126,-6.34343,20.0767,0.339743,1.02815,-12.9463,-0.588235,0.141949,-0.119014,1.40555,12.75,10,0,0,1.66667,10.6667,32.375,-5.27712,0.0001,0.00513997,0.339433,1.7116,0.132619,53303,0.196369,72.98,2.7917
8508,0.948017,0.54428,0.674678,0.518807,0.0146044,0.00652027,0.0146044,0.501586,0.377163,0.573554,0.678737,0.025322,0.0798685,0.0174436,0.290962,0.0243211,0.000757576,0.443711,0.15898,3.54499,0.139747,0.515402,0.0784035,0.791533,6.76439,0.969881,1,0.00131177,0.0220307,0.548235,0.303759,0,0.619539,0.251054,0,-0.00517937,0.112973,0.947181,0.748594,0.0170283,0.0248178,0.00200804,0.000544882,0.500776,0.0137916,6.57543,-4.9521,18.8421,0.347249,0.879914,-14.2611,-0.588235,0.144424,-0.125729,1.50321,12.875,11.5833,0,0,2.54167,13.375,13.5417,-5.27687,0.0001,0.000693622,0.255229,1.71742,0.137081,53008,0.196415,107.43,3.54138
8509,0.877655,0.541888,0.756671,0.517064,0.0127267,0.00616384,0.0127267,0.494651,0.390606,0.568998,0.760366,0.0216351,0.0780969,0.0152812,0.26842,0.0245163,0.00233004,0.458885,0.175277,3.37338,0.136837,0.512894,0.0675342,0.828475,6.85428,0.976335,1,0.000800972,0.0151587,0.545319,0.279052,0,0.73073,0.306285,0,-0.00541288,0.109886,0.95233,0.784984,0.0147719,0.0208564,0.00163475,0.00044928,0.507308,0.0118208,7.06053,-5.59947,17.171,0.370889,0.731699,-14.1949,-0.588235,0.151301,-0.136727,1.68346,14.9167,10.5,0,0,2.125,11,16.7917,-5.27445,0.0001,-0.00232875,0.317705,1.74748,0.12674,52450,0.196441,96.64,3.87266
