step,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/action_over_limit,Episode_Reward/curriculum_accelerate,Episode_Reward/curriculum_alignment,Episode_Reward/curriculum_continuous,Episode_Reward/curriculum_hold,Episode_Reward/curriculum_steering,Episode_Reward/curriculum_transfer,Episode_Reward/dynamic_action_rate,Episode_Reward/failure,Episode_Reward/foreaft_balance,Episode_Reward/joint_torques_l2,Episode_Reward/self_collisions,Episode_Reward/waist_support,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
16400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.9728,1.5e-05,0.00207702,0.232874,1.36868,0.135531,65352,0.102831,,
16401,0.249038,0.00909648,0.0380345,0.00515489,0.0764495,0.0041479,0.0724748,0.0981482,2.49031,0.0326941,0.124978,0.0367674,0.371681,2.81912,0.410437,0.416667,0.000680254,0.0139189,0.329888,0.0830867,0,0.340237,0,0,-0.0022484,0.00963574,0.365891,0.327172,0.00488761,0.0106491,0.000104514,-0.000467443,0.212008,0.00367841,-2.19096,-9.87183,7.75703,0.222133,0.54987,-3.50292,-0.0134335,0,-2.30369e-05,0.309076,0.306096,0,0,-0.0012194,-0.416667,-0.014445,-0.000130115,-0.010596,0.0410937,0.208333,2.5,0,0,0.291667,0,0,-16.9794,1e-05,0.0067125,0.149561,2.16411,0.0902228,43606,0.102821,45.6269,1.43488
16402,0.90277,0.0190133,0.0518469,0.012177,0.14291,0.00846434,0.201733,0.359504,4.58788,0.0612365,0.299923,0.0736675,0.868891,6.99939,0.985283,1,0.00492918,0.0832645,0.804717,0.168016,0.345816,0.979667,0.345816,0,-0.00444915,0.0222719,0.919782,0.846332,0.0102666,0.018575,0.00167862,0.001374,0.566157,0.0120296,-9.48948,-14.8367,11.6623,0.686792,0.854798,-15.0412,-0.0176859,0,-0.000498969,1.34472,1.91057,0,0,-0.00328029,-1,-0.130536,-0.000354547,-0.027399,0.291031,4.66667,17.5,0,0,27.5,37.9167,0,-16.9799,1.5e-05,-4.57735e-05,0.040763,1.62628,0.0942049,57137,0.102822,72,6.35276
16403,0.986187,0.0192211,0.0429219,0.0129768,0.10271,0.00859919,0.202747,0.304266,3.77866,0.0683002,0.29956,0.0686932,0.889658,6.94499,0.985444,1,0.00794249,0.127483,0.626406,0.121041,0.704846,0.993438,0.704846,0,-0.00422518,0.0413903,0.91416,0.843925,0.0104929,0.0177777,0.00155866,0.00208783,0.557457,0.0130251,-12.5068,-13.6814,10.0464,0.725206,0.787249,-16.5125,-0.0170374,0,-0.000883624,1.52887,2.49748,0,0,-0.00379006,-1,-0.179325,-0.000441334,-0.0115381,0.405727,10.4583,19.9167,0,0,66.5,3.45833,0,-16.9768,1e-05,0.0031817,0.142799,1.57498,0.0935481,58916,0.102821,92.44,6.36014
16404,0.879707,0.0186664,0.0555203,0.0117603,0.144744,0.00860588,0.200383,0.337611,4.75377,0.0663416,0.299889,0.0737156,0.877605,6.9961,0.986548,1,0.0037053,0.0570979,0.786157,0.168007,0.328885,0.990724,0.328885,0,-0.00452429,0.0259136,0.914817,0.84261,0.0100789,0.0188016,0.00158112,0.0011044,0.556248,0.0110872,-9.27315,-15.7418,12.5053,0.65831,0.930936,-14.2028,-0.0195672,0,-0.000516174,1.29843,1.77812,0,0,-0.00337971,-0.963277,-0.121249,-0.000348553,-0.0293923,0.267689,1.125,3.75,0,0,3.625,5.375,2.375,-16.9855,1.5e-05,0.000540655,0.127415,1.59761,0.0890939,58281,0.102799,60.28,4.7862
16405,0.941423,0.020573,0.0442947,0.0135617,0.131999,0.00826815,0.203384,0.352832,4.16713,0.0601727,0.30032,0.0733783,0.867446,6.97423,0.984385,1,0.00666775,0.114493,0.755788,0.153834,0.53703,0.985929,0.53703,0,-0.00429931,0.0251892,0.923629,0.839859,0.0109588,0.0192956,0.0016675,0.00182398,0.569594,0.0135192,-10.5378,-12.9612,10.8262,0.707994,0.823271,-16.6379,-0.0171676,0,-0.000445732,1.44558,2.22567,0,0,-0.00348867,-1,-0.157277,-0.000371149,-0.0200355,0.349056,4,11.9583,0,0,33.2083,25.2917,0,-16.9803,2.25e-05,-0.000106971,0.0647223,1.58085,0.0862513,58966,0.102784,72.14,5.99785
16406,0.979046,0.0205811,0.0418077,0.0138379,0.111661,0.00866069,0.203189,0.324096,3.75268,0.0652131,0.299726,0.0721091,0.880423,6.92213,0.984443,1,0.00868703,0.149161,0.666517,0.130744,0.703645,0.991027,0.703645,0,-0.00420344,0.0367952,0.916986,0.836822,0.0111203,0.0190474,0.00140375,0.00191697,0.560297,0.0136889,-12.0595,-12.9553,10.4947,0.718735,0.817787,-16.8265,-0.0168712,0,-0.000875297,1.52661,2.48992,0,0,-0.00370052,-0.985867,-0.17465,-0.000407681,-0.0127003,0.40207,9.20833,17.9167,0,0,54.4167,9.54167,1.125,-16.9925,1e-05,0.00111476,0.131376,1.58781,0.0935652,58466,0.102768,81.49,6.48945
16407,0.934406,0.0183366,0.0456158,0.0120969,0.123001,0.00833705,0.205501,0.3215,4.09607,0.06805,0.300614,0.0694354,0.876318,6.98655,0.986656,1,0.00531129,0.0864699,0.702965,0.14399,0.513235,0.976398,0.513235,0,-0.00436091,0.034721,0.918112,0.851767,0.0100283,0.0173185,0.00193202,0.00204595,0.566566,0.0123002,-11.0514,-14.4002,10.3978,0.717468,0.788397,-15.7059,-0.0168717,0,-0.000853583,1.44143,2.25281,0,0,-0.00361868,-0.92825,-0.167577,-0.000392534,-0.0178785,0.356844,3.04167,7.91667,0,0,11.375,8.58333,1.91667,-17.0005,2.25e-05,0.000497622,0.128863,1.60241,0.0886488,58131,0.102757,64.79,5.38757
16408,0.942156,0.0202744,0.0451869,0.0133694,0.128317,0.00842024,0.202963,0.345514,4.12164,0.0621935,0.300119,0.0732618,0.870728,6.96772,0.984905,1,0.00694763,0.118834,0.739261,0.150033,0.553649,0.982287,0.553649,0,-0.00432234,0.0276614,0.920947,0.839638,0.0108528,0.0190675,0.00157249,0.00176069,0.566916,0.0132722,-10.7698,-13.4101,10.8564,0.708935,0.821294,-16.3289,-0.0171955,0,-0.000529627,1.45001,2.25668,0,0,-0.00350861,-0.996064,-0.157298,-0.000375921,-0.0179799,0.356294,4.95833,13.2083,0,0,31,19.5833,0.208333,-16.9933,1e-05,0.00564639,0.0812019,1.60883,0.0908225,57837,0.102747,72.12,5.91895
16409,0.97007,0.0203614,0.0432791,0.0136055,0.115717,0.00879374,0.203267,0.328636,3.83937,0.0656686,0.299735,0.0725755,0.879508,6.93116,0.98485,1,0.0078843,0.138278,0.683293,0.135486,0.650333,0.991037,0.650333,0,-0.00428799,0.0338916,0.91627,0.837254,0.0110332,0.0189731,0.00135197,0.00179765,0.560681,0.0134806,-11.8232,-13.4259,10.6629,0.715367,0.813808,-16.438,-0.0169218,0,-0.000728782,1.50692,2.43491,0,0,-0.00364627,-0.983891,-0.166162,-0.000399929,-0.0146424,0.391222,8.29167,18.7917,0,0,44.2917,11.9583,1.25,-17.0027,1.5e-05,-0.000660531,0.113125,1.62657,0.0891933,57294,0.10274,76.85,6.15773
