step,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/action_over_limit,Episode_Reward/curriculum_accelerate,Episode_Reward/curriculum_alignment,Episode_Reward/curriculum_continuous,Episode_Reward/curriculum_hold,Episode_Reward/curriculum_steering,Episode_Reward/curriculum_transfer,Episode_Reward/dynamic_action_rate,Episode_Reward/failure,Episode_Reward/foreaft_balance,Episode_Reward/joint_torques_l2,Episode_Reward/self_collisions,Episode_Reward/waist_support,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.3989,0.01,0.000263668,0.0791156,1.1935,0.156761,72803,0.0804486,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.3737,0.01,4.91063e-06,0.0387733,1.14175,0.124176,77653,0.0810547,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.1945,0.01,-5.93358e-05,0.123414,1.14726,0.124433,77301,0.0818071,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.1073,0.01,-0.000255463,0.0544345,1.14937,0.12527,77122,0.0819839,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.1004,1e-05,0.102444,0.0141912,1.14018,0.123913,77766,0.0823734,,
5,0,0.0388379,-0.00048708,0.0385329,0.147351,0.0306186,0,0.41062,0,0.590329,0.116125,0,0.0446497,0.256532,2.19179,0.297637,0.0612252,0.538396,2.16732,0,0.150032,0,0,0,0,0.00118991,0.236094,0.607882,0.0152873,0.0397585,0.0400052,0.00330018,0.00302464,0.245205,0.0402003,4.72808,-0.697831,1.75753,0.564902,0.240227,-1.48542,-0.0345839,0.318402,-0.00541013,0,0,0.00317596,0.00682694,-0.000158543,-0.208333,-0.0499158,-0.000134583,-0.0294939,0.000222114,100.833,24.4583,0,0,0,0,0,-15.0876,1e-05,0.0514872,3.06408,1.44781,0.125124,62497,0.0823796,144,0.0412617
6,0.00144444,0.0607389,0.000801616,0.0595083,0.240855,0.0416135,0,0.739831,2.03529e-05,1.31742,0.177226,0,0.0638917,0.419475,3.80809,0.522919,0.196708,0.819568,3.27529,0.000486856,0.237155,0,0,0,0,0.00130383,0.305178,0.959177,0.0485118,0.0614804,0.0622116,0.000753881,-0.00149058,0.422826,0.0612257,6.61647,-1.00578,5.92346,0.807694,0.569178,-4.33236,-0.0269093,0.559746,-0.0226469,0.000181753,8.37317e-05,0.0125747,0.0253177,-0.000433389,-0.333333,-0.273816,-0.00025469,-0.0529246,0.00190238,35.7083,21.5833,0,0,0.0416667,0,0,-15.0839,0.000113906,0.00708587,0.83842,1.566,0.122115,58233,0.0824343,164.31,-1.03372
7,0.05375,0.0550766,0.0116683,0.05347,0.204354,0.047827,0,0.737879,0.00183191,1.66327,0.211815,0,0.0720529,0.458325,4.19316,0.586639,0.302326,0.717955,2.86359,0.0187371,0.205387,0,0,0,0,0.000336313,0.285522,0.943109,0.148131,0.0540627,0.0561819,-0.00428472,-0.00524658,0.452726,0.0537112,5.37672,-4.31989,7.99097,0.751638,0.650689,-5.07513,-0.0339149,0.543399,-0.0319632,0.00389261,0.00268388,0.0156928,0.0520869,-0.00127248,-0.333333,-0.226342,-0.000325997,-0.0713727,0.00845807,1.25,1.79167,0,0,0.0416667,0,0,-14.9406,0.01,0.00042359,0.0762144,1.39825,0.124888,64540,0.0833238,170.28,-0.793617
8,0.08,0.0476147,0.0197787,0.0466242,0.190328,0.0595124,0,0.767687,0.00125,2.044,0.211592,0,0.0731948,0.484375,4.63575,0.642532,0.346354,0.604167,2.39111,0.03125,0.199448,0,0,0,0,-0.000870903,0.23303,0.955349,0.235281,0.047272,0.0483259,-0.00721305,-0.00755621,0.473759,0.0468308,5.62532,-6.61943,6.32135,0.801246,0.559171,-4.22688,-0.0351113,0.530501,-0.00360935,0.000370803,0.00359443,0.0166924,0.0840131,-0.00165746,-0.333333,-0.0485285,-0.000416222,-0.0833333,0.0178376,1,1,0,0,0,0,0,-15.0008,0.01,-8.02757e-05,0.0608611,1.15752,0.12201,76828,0.0837179,170.28,-0.793617
9,0.08,0.0476147,0.0197787,0.0466242,0.190328,0.0595124,0,0.767687,0.00125,2.044,0.211592,0,0.0731948,0.484375,4.63575,0.642532,0.346354,0.604167,2.39111,0.03125,0.199448,0,0,0,0,-0.000870903,0.23303,0.955349,0.235281,0.047272,0.0483259,-0.00721305,-0.00755621,0.473759,0.0468308,5.62532,-6.61943,6.32135,0.801246,0.559171,-4.22688,-0.0351113,0.530501,-0.00360935,0.000370803,0.00359443,0.0166924,0.0840131,-0.00165746,-0.333333,-0.0485285,-0.000416222,-0.0833333,0.0178376,1,1,0,0,0,0,0,-14.7967,1e-05,-0.00969354,0.0472466,1.15191,0.125273,76969,0.0841905,170.28,-0.793617
