step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
3500,0,0,0.0117021,0.0117021,0.0198766,0,0.223312,0,0.019113,-0.000669351,0.0167541,0.0801564,0.00457059,0,0.0314171,0,0.902155,0.0241628,0.0754278,0.0271463,0.065413,0.791178,0.108486,0.06375,0.173665,0.894416,0,0.0731897,0,0,0,0,0.000158691,0.121652,0.222363,0.00677765,0.0159684,0.0191469,-0.00690598,-0.00436027,0.0913713,0.0145737,2.07571,4.03031,5.62109,0.101829,0.651014,-1.59078,-0.138889,-0.0011823,0,38.75,69.9167,0,0,0,0,0,-10.3299,0.0001,0.086528,0.351683,1.44326,0.177696,60645,0.136957,24,-2.01695
3501,0,0,0.0356451,0.0356451,0.0626724,0,0.859689,0,0.072364,-0.00251373,0.0659851,0.304049,0.0222008,0,0.158399,0,3.61442,0.152994,0.296024,0.112371,0.188059,2.66027,0.360757,0.33327,0.733124,4.04654,0,0.276183,0,0,0,0,0.000887578,0.557348,0.901374,0.0373191,0.0638749,0.0730534,-0.0248831,-0.0181484,0.307508,0.059157,1.10714,14.2908,22.4915,0.352811,1.8806,-8.12663,-0.555556,-0.00491382,0,99.75,132.042,0,0,0,0,0,-10.3254,0.0001,0.0853512,0.0915841,1.76288,0.130781,51912,0.137019,23.91,-2.01691
3502,0,0,0.0388711,0.0388711,0.0673933,0,0.863229,0,0.0758274,-0.00299369,0.0678072,0.323602,0.0209635,0,0.149732,0,3.62855,0.117395,0.298589,0.112771,0.207816,2.81112,0.384625,0.304292,0.732158,3.85631,0,0.290459,0,0,0,0,0.00117377,0.516951,0.896973,0.0307201,0.0656564,0.0768572,-0.0237817,-0.0165617,0.325026,0.0603267,4.66185,15.4658,23.122,0.365246,2.13521,-7.58954,-0.555556,-0.00482888,0,101.667,131.042,0,0,0,0,0,-10.3194,0.0001,0.0658596,0.0357007,1.89002,0.131506,48628,0.137079,24.36,-2.01798
3503,0,0,0.0400218,0.0400218,0.0711877,0,0.865619,0,0.0767604,-0.00307504,0.0685746,0.334284,0.0216823,0,0.153182,0,3.62613,0.106291,0.299814,0.115389,0.221167,2.80004,0.383373,0.294167,0.732481,3.84672,0,0.306829,0,0,0,0,0.000951482,0.500106,0.894125,0.0238648,0.0661904,0.0776014,-0.0250291,-0.0167153,0.3264,0.0606146,5.8256,16.0312,23.4921,0.365645,2.19324,-7.43767,-0.555556,-0.00495997,0,99.875,132.583,0,0,0,0,0,-10.3134,0.0001,0.117051,0.0226552,1.74998,0.132026,52233,0.137124,24.26,-2.01748
3504,0,0,0.0403025,0.0403025,0.0703893,0,0.872402,0,0.0765609,-0.00312629,0.0684781,0.335361,0.0219454,0,0.153823,0,3.62235,0.10593,0.300333,0.115821,0.218193,2.78423,0.378886,0.290849,0.746304,3.89076,0,0.311051,0,0,0,0,0.000787048,0.498046,0.89287,0.0257339,0.0659415,0.0771708,-0.0246277,-0.0162718,0.332757,0.0602863,6.2591,16.3741,23.7243,0.363132,2.21685,-7.34694,-0.555556,-0.00485817,0,86.9583,141.167,0,0,0,0,0,-10.3085,0.0001,0.139381,0.0133512,1.76672,0.143264,51468,0.137169,23.97,-2.01758
3505,0,0,0.0406301,0.0406301,0.0706912,0,0.87803,0,0.0759453,-0.00307561,0.0681995,0.333872,0.0217523,0,0.151818,0,3.56363,0.103534,0.299089,0.113176,0.220283,2.75889,0.377291,0.28825,0.74917,3.84181,0,0.309647,0,0,0,0,0.000567324,0.492947,0.893361,0.0259306,0.0654383,0.0762115,-0.0241956,-0.0156291,0.336793,0.0597722,6.55532,16.3292,23.601,0.364222,2.22393,-7.2667,-0.555556,-0.00484421,0,92.125,138.958,0,0,0,0,0,-10.3017,0.0001,0.0760845,0.010755,1.74244,0.137766,52283,0.13724,23.73,-2.01651
3506,0,0,0.0405317,0.0405317,0.070762,0,0.878682,0,0.0757078,-0.00302316,0.0680455,0.333192,0.0213782,0,0.151789,0,3.52593,0.102129,0.300345,0.110923,0.218611,2.76617,0.378682,0.288879,0.751106,3.82719,0,0.308949,0,0,0,0,0.000475385,0.486887,0.895088,0.0252903,0.0652467,0.0758627,-0.0239353,-0.0153221,0.34239,0.0596461,6.55312,16.0599,23.3725,0.366258,2.20142,-7.29139,-0.555556,-0.00486103,0,102.792,128.208,0,0,0,0,0,-10.2941,0.0001,0.111828,0.0091917,1.71651,0.127149,53320,0.137316,24.18,-2.01749
3507,0,0,0.0404875,0.0404875,0.0697514,0,0.883414,0,0.0764188,-0.0030429,0.0685594,0.330645,0.0213652,0,0.151811,0,3.43727,0.101226,0.29948,0.110722,0.216029,2.70918,0.372264,0.288629,0.762775,3.84681,0,0.309414,0,0,0,0,0.000315492,0.470939,0.894639,0.0240325,0.0656629,0.0764457,-0.022664,-0.0141446,0.346318,0.0600333,6.5715,16.1819,23.4853,0.365749,2.21243,-7.30001,-0.555556,-0.00479012,0,98,126.917,0,0,0,0,0,-10.2868,0.0001,0.0778517,0.0086565,1.88415,0.134135,48706,0.13738,24.38,-2.01681
3508,0,0,0.039955,0.039955,0.0680913,0,0.886175,0,0.0760448,-0.0030166,0.0683758,0.326572,0.0215631,0,0.151958,0,3.43874,0.103736,0.299853,0.110768,0.20967,2.68556,0.370328,0.292256,0.770739,3.8689,0,0.305718,0,0,0,0,0.000267812,0.46822,0.894389,0.0240128,0.0655063,0.0760597,-0.0215831,-0.0134673,0.349319,0.059898,6.27015,16.1793,23.5761,0.364284,2.22011,-7.39176,-0.555556,-0.00474327,0,90.9583,137.75,0,0,0,0,0,-10.2798,0.0001,0.0718868,0.00798764,1.71115,0.126695,53488,0.137448,24.68,-2.01752
3509,0,0,0.0396386,0.0396386,0.0677045,0,0.88901,0,0.0759928,-0.00300822,0.0684574,0.326386,0.0217294,0,0.15332,0,3.39345,0.104332,0.300255,0.110567,0.208594,2.67226,0.365963,0.294126,0.775847,3.90154,0,0.306162,0,0,0,0,0.00024151,0.465587,0.895069,0.0242337,0.06557,0.0759479,-0.0206784,-0.0128155,0.348287,0.0599538,6.09765,16.2651,23.6959,0.361808,2.2222,-7.42523,-0.555556,-0.00475183,0,86.75,135.917,0,0,0,0,0,-10.2734,0.0001,0.0471241,0.00866719,1.80006,0.159572,50164,0.137499,25.42,-2.01678
3510,0,0,0.0391242,0.0391242,0.0675786,0,0.893132,0,0.0760194,-0.00298849,0.0685652,0.322875,0.0220747,0,0.153853,0,3.34601,0.106777,0.299501,0.109929,0.208374,2.62784,0.361551,0.297624,0.781788,3.92635,0,0.302927,0,0,0,0,0.000107181,0.454006,0.895762,0.0241546,0.0656505,0.075853,-0.0193949,-0.0119011,0.351465,0.0600937,5.55032,16.2091,23.7323,0.360944,2.22499,-7.51408,-0.555556,-0.00480382,0,81.125,138.833,0,0,0,0.0416667,0,-10.2682,0.0001,0.0880732,0.0102546,1.73992,0.132831,52491,0.137561,25.75,-2.01764
3511,0,0,0.0387542,0.0387542,0.0665943,0,0.894301,0,0.0762904,-0.00294861,0.0687845,0.320933,0.0223305,0,0.154408,0,3.31179,0.108929,0.299708,0.110258,0.204605,2.61375,0.359516,0.300417,0.784364,3.93422,0,0.301482,0,0,0,0,1.27338e-05,0.443218,0.895844,0.0238942,0.0658417,0.0760233,-0.0182146,-0.0110127,0.354203,0.0603422,5.11447,16.1293,23.7275,0.360357,2.21564,-7.58261,-0.555556,-0.00478241,0,78.4583,139.792,0,0,0,0.0416667,0,-10.2613,0.0001,0.0472253,0.00959468,1.78569,0.126955,51396,0.137635,25.78,-2.01707
