step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
3200,0,0,0.0164679,0.0164679,0.138796,0,0.272508,0,0.00866237,0.00660013,0.00573687,0.125063,0.00328178,0,0.0418831,0,1.52622,0.147742,0.0997888,0.0328418,0.125295,1.95194,0.30563,0.198333,0.032691,0.115812,0,0.104948,0,0,0,0,-0.00108948,0.05668,0.295682,0.250793,0.00442678,0.00810197,0.0188611,0.0112816,0.173741,0.00487399,4.14935,2.39523,6.78694,0.142839,0.756342,-4.3917,-0.238095,-0.0101746,0,18.25,163.042,0,0,0,0,0,-10.5831,0.0001,0.126396,1.37595,1.47874,0.155927,60137,0.134967,24,-2.09574
3201,0,0,0.0435639,0.0435639,0.381263,0,0.822623,0,0.0318975,0.0184277,0.0215426,0.379916,0.0106399,0,0.152622,0,4.09589,0.423294,0.303424,0.107662,0.381029,5.69606,0.892939,0.626633,0.12712,0.524992,0,0.326736,0,0,0,0,-0.00115721,0.195825,0.878447,0.669492,0.019534,0.0322989,0.0569905,0.0360017,0.585586,0.0203082,13.8465,8.81947,23.2056,0.368676,1.97459,-14.386,-0.714286,-0.0315355,0,25.375,174.667,0,0,0,0,0,-10.5802,0.0001,0.0860425,0.767235,1.45047,0.119797,62603,0.135,23.36,-2.09741
3202,0,0,0.0463942,0.0463942,0.413404,0,0.818903,0,0.0291162,0.0224579,0.0192227,0.368593,0.010386,0,0.132798,0,4.2479,0.404272,0.302191,0.101467,0.376254,5.88234,0.921907,0.609863,0.0974926,0.358963,0,0.308506,0,0,0,0,-0.00283742,0.159167,0.883067,0.727245,0.0151951,0.0279098,0.0532742,0.0325784,0.566593,0.0162091,13.5775,6.99623,20.7175,0.403381,2.0514,-13.7211,-0.714286,-0.0322919,0,23.5,171.208,0,0,0,0,0,-10.5761,0.0001,0.0327082,0.46289,1.56438,0.164263,56867,0.135038,23.03,-2.09346
3203,0,0,0.048887,0.048887,0.423192,0,0.81476,0,0.0262059,0.0216064,0.017294,0.371676,0.00959,0,0.124411,0,4.47721,0.423252,0.300593,0.0935656,0.372409,5.88218,0.925309,0.596381,0.0920309,0.329813,0,0.308649,0,0,0,0,-0.0032975,0.165543,0.885951,0.759792,0.0129794,0.0245284,0.0544372,0.0326597,0.536454,0.0142916,12.9676,6.50127,19.7309,0.427393,2.11138,-13.2292,-0.714286,-0.031172,0,24.7917,190.708,0,0,0,0,0,-10.5722,0.0001,0.0368159,0.262014,1.66145,0.124658,55038,0.135079,19.9,-2.08274
3204,0,0,0.0489139,0.0489139,0.428738,0,0.81571,0,0.0260532,0.0216376,0.0171795,0.371075,0.00938398,0,0.123532,0,4.42932,0.41851,0.300614,0.0922154,0.380872,5.93269,0.93191,0.595665,0.0926937,0.326054,0,0.307072,0,0,0,0,-0.00318275,0.163023,0.88618,0.761924,0.0128311,0.0244751,0.0539042,0.0323345,0.542489,0.0141586,13.0869,6.2827,19.5091,0.42594,2.07725,-13.2261,-0.714286,-0.0314633,0,24.2083,207.542,0,0,0,0,0,-10.5685,0.0001,0.0317881,0.158455,1.61724,0.128719,56303,0.135113,20.38,-2.08797
3205,0,0,0.0486383,0.0486383,0.430912,0,0.816628,0,0.0260557,0.021922,0.0171803,0.370336,0.00929399,0,0.123918,0,4.39063,0.41319,0.300449,0.0910309,0.387026,5.96028,0.935385,0.59678,0.0935473,0.328169,0,0.306238,0,0,0,0,-0.00310893,0.160829,0.885723,0.761693,0.0128262,0.024556,0.0535315,0.0321945,0.550573,0.0141256,13.2141,6.15486,19.4108,0.424766,2.0576,-13.2558,-0.714286,-0.0317867,0,21.7917,199.042,0,0,0,0,0,-10.5651,0.0001,0.016937,0.0845835,1.7437,0.123613,52644,0.135145,20.85,-2.09065
3206,0,0,0.0484507,0.0484507,0.429318,0,0.81644,0,0.0260064,0.022147,0.0171539,0.369575,0.00927747,0,0.124173,0,4.38654,0.410748,0.300095,0.0908519,0.38474,5.96404,0.935203,0.597682,0.0935935,0.329406,0,0.305597,0,0,0,0,-0.00311686,0.161007,0.885677,0.762676,0.0127727,0.0244996,0.0534362,0.0321571,0.552209,0.0140859,13.2926,6.06198,19.3292,0.426125,2.04361,-13.2667,-0.714286,-0.0318058,0,22.1667,192.167,0,0,0,0,0,-10.5616,0.0001,0.0314308,0.0186108,1.68929,0.129646,54044,0.13518,20.92,-2.09007
3207,0,0,0.0485599,0.0485599,0.42971,0,0.815597,0,0.0260081,0.022403,0.0171725,0.370073,0.0091872,0,0.124198,0,4.41521,0.410071,0.300378,0.0897864,0.386057,5.96117,0.933197,0.597224,0.0934043,0.330588,0,0.306438,0,0,0,0,-0.00321674,0.160989,0.885818,0.76463,0.0126824,0.0243894,0.0534456,0.0320845,0.547893,0.013975,13.2141,6.04055,19.2952,0.427207,2.05182,-13.2544,-0.714286,-0.0317663,0,19.5,197.417,0,0,0,0,0,-10.5578,0.0001,0.0206958,0.0102227,1.66491,0.203622,52610,0.135213,20.35,-2.08766
3208,0,0,0.0485192,0.0485192,0.429568,0,0.815299,0,0.0259199,0.0225149,0.0171561,0.369498,0.009102,0,0.124226,0,4.41349,0.410212,0.300134,0.0891224,0.384837,5.95234,0.932716,0.597465,0.0942135,0.333293,0,0.305994,0,0,0,0,-0.0033194,0.161601,0.885979,0.767498,0.0125709,0.0241882,0.0534447,0.032074,0.543607,0.0138576,13.1937,6.04677,19.2958,0.427476,2.04941,-13.2489,-0.714286,-0.0317867,0,20.4167,199.042,0,0,0,0,0,-10.5541,0.0001,0.0136201,0.0086861,1.54481,0.122426,58962,0.13525,20.73,-2.08825
3209,0,0,0.0484973,0.0484973,0.428849,0,0.815755,0,0.026023,0.0224095,0.0172196,0.368432,0.00910299,0,0.123925,0,4.40826,0.409672,0.299488,0.0891383,0.384477,5.95143,0.93176,0.597493,0.0936299,0.33113,0,0.305197,0,0,0,0,-0.00339017,0.162682,0.885947,0.768392,0.0125391,0.0242197,0.053307,0.0319719,0.540876,0.0138205,13.201,6.04478,19.3087,0.425491,2.04051,-13.2637,-0.714286,-0.0317401,0,18.1667,197.417,0,0,0,0,0,-10.5508,0.0001,0.0274459,0.00802743,1.47297,0.11725,61817,0.135277,20.49,-2.08812
