step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.4465,0.0001,0.00323759,1.01284,1.35098,0.166647,64774,0.138112,,
2601,0.0998976,0.062009,0.0251824,0.0251824,0.487582,0.078467,0.685492,0.0625265,0.0195511,0.0533092,0.0115352,0.206399,0.0203034,0,0.132505,0.00613163,3.0635,0.116095,0.279589,0.115366,0.559332,5.80975,0.842415,0.835076,0.0774874,0.309167,0.101422,0.182425,0,0,0,0,-0.00536322,0.0658709,0.825338,0.613105,0.0179862,0.0219022,0.000842062,-0.00025734,0.45863,0.0132981,-5.62362,-16.5711,16.6702,0.488673,1.51278,-6.30997,-0.833333,-0.0835699,0.255562,15.75,159.208,0,0,2.125,0,0,-10.4458,0.0001,0.0327685,0.217548,1.85955,0.131195,49380,0.138123,47.5,-1.40674
2602,0.101153,0.0737089,0.0234519,0.0234519,0.477094,0.0799279,0.712392,0.0748682,0.0258928,0.0493089,0.0164808,0.205811,0.0187392,0,0.162671,0.00575327,3.49351,0.156434,0.306224,0.111357,0.582051,6.50524,0.93507,0.924016,0.0751427,0.352741,0.103954,0.186924,0,0,0,0,-0.00553937,0.126506,0.926719,0.711979,0.0179622,0.0256987,-0.000176433,-0.00139891,0.478273,0.0145,-5.65686,-9.8043,18.3633,0.466028,1.42345,-12.0261,-0.909091,-0.096494,0.293291,0.708333,6.54167,0,0,0.75,7.375,0,-10.4449,0.0001,0.0142397,0.780846,1.77573,0.12623,51685,0.138132,35.64,-1.55973
2603,0.141539,0.0878435,0.0241042,0.0241042,0.551595,0.105442,0.741883,0.0887752,0.0213929,0.0578261,0.0131054,0.201099,0.0234978,0,0.148589,0.00868505,2.95133,0.125807,0.300952,0.12499,0.651079,6.46956,0.943383,0.921902,0.0614962,0.233718,0.144218,0.179194,0,0,0,0,-0.00612862,0.0588655,0.903592,0.647644,0.0209096,0.0238842,-0.00379634,-0.00350447,0.475371,0.0156729,-7.07231,-17.5664,17.9156,0.539641,1.5064,-7.15471,-0.909091,-0.104584,0.362423,14.5833,158.167,0,0,1.66667,4.83333,0,-10.4442,0.0001,0.00279449,0.214701,1.92602,0.126493,47894,0.13814,45.38,-1.46422
2604,0.124599,0.0784619,0.0250946,0.0250946,0.536463,0.0966405,0.740889,0.0791121,0.022037,0.0578428,0.0133785,0.210202,0.0218534,0,0.148854,0.00744478,3.14495,0.126685,0.300044,0.123603,0.631662,6.46247,0.93727,0.918693,0.0675934,0.264232,0.126708,0.186998,0,0,0,0,-0.00616992,0.0750668,0.906019,0.663364,0.0198412,0.0243498,-0.00129789,-0.00179235,0.491557,0.0148687,-6.481,-16.7299,18.1021,0.526735,1.5319,-7.78871,-0.909091,-0.0987712,0.32073,3,43.3333,0,0,0.583333,1.45833,0,-10.4436,0.0001,0.00168589,0.237538,1.83649,0.131478,49951,0.138154,40.05,-1.45195
2605,0.138887,0.089342,0.0231225,0.0231225,0.540934,0.103502,0.733794,0.0904454,0.0209225,0.0532913,0.01307,0.192078,0.0234321,0,0.14901,0.00882757,2.8774,0.127629,0.30263,0.119433,0.644766,6.52978,0.947599,0.925083,0.0583966,0.221156,0.14289,0.172036,0,0,0,0,-0.00611344,0.0667798,0.909265,0.657018,0.0204337,0.0228606,-0.00581827,-0.00495895,0.458648,0.0155289,-7.30968,-16.5146,17.3624,0.53953,1.43097,-7.89775,-0.909091,-0.106574,0.368104,12.4583,120.333,0,0,1.625,5.66667,0,-10.4419,0.0001,0.00294537,0.22771,1.85614,0.127916,49546,0.138174,45.04,-1.47666
2606,0.14655,0.0915395,0.0251659,0.0251659,0.562439,0.114385,0.750149,0.0923778,0.0214185,0.0600644,0.0129471,0.210524,0.0232218,0,0.148227,0.00953439,2.96944,0.122514,0.299688,0.126905,0.657979,6.42078,0.938396,0.918462,0.0652674,0.25031,0.148775,0.186794,0,0,0,0,-0.00609183,0.0516579,0.900343,0.647043,0.0208474,0.0240895,-0.001911,-0.00214,0.489598,0.0154233,-6.85853,-18.4298,18.1377,0.543503,1.56782,-6.66281,-0.909091,-0.10243,0.379318,8.29167,97.5417,0,0,1.58333,1.20833,0,-10.4403,0.0001,0.00281479,0.0813398,1.91769,0.125275,48118,0.138187,42.26,-1.32874
2607,0.138037,0.0903383,0.0233935,0.0233935,0.538107,0.105654,0.734201,0.0912509,0.0214427,0.053206,0.0133835,0.195787,0.0229433,0,0.149997,0.00878297,2.94568,0.127798,0.301928,0.119849,0.641142,6.50856,0.944414,0.924205,0.059869,0.235412,0.141136,0.17525,0,0,0,0,-0.00604207,0.0696344,0.909887,0.658664,0.0203539,0.023315,-0.00474811,-0.00421715,0.463804,0.0155385,-7.09044,-16.0592,17.5148,0.534992,1.44265,-8.12323,-0.909091,-0.105052,0.37242,8.04167,68.5833,0,0,1.45833,7.5,0,-10.4389,0.0001,-0.00063829,0.11846,1.87264,0.125137,49206,0.138209,40.5,-1.39723
2608,0.157964,0.0999685,0.0242182,0.0242182,0.564191,0.12083,0.748149,0.100785,0.0209447,0.0582471,0.012828,0.20219,0.0236181,0,0.148615,0.0108491,2.83635,0.12342,0.299924,0.125066,0.673999,6.46648,0.943972,0.921533,0.0607127,0.223736,0.160406,0.180092,0,0,0,0,-0.00609634,0.0506733,0.902109,0.645148,0.020945,0.0233879,-0.0037735,-0.00351305,0.47462,0.0155654,-7.26023,-18.2533,17.7598,0.549395,1.52429,-6.81955,-0.909091,-0.106288,0.416194,12.4167,126.125,0,0,1.91667,4,0,-10.4367,0.0001,0.000357946,0.0523318,1.91009,0.160269,47481,0.138237,43.41,-1.37567
2609,0.151022,0.097797,0.0235516,0.0235516,0.550647,0.115354,0.738997,0.0985521,0.0210936,0.0551817,0.0131109,0.195574,0.022713,0,0.14828,0.00992568,2.92474,0.128134,0.300879,0.120342,0.666812,6.50885,0.946882,0.923693,0.0602666,0.228409,0.153381,0.174767,0,0,0,0,-0.0061292,0.0622222,0.90816,0.662267,0.0201098,0.023038,-0.00497687,-0.0043402,0.466989,0.0151799,-7.27236,-16.6814,17.4935,0.539422,1.45409,-7.84856,-0.909091,-0.106697,0.404348,4.25,47.8333,0,0,1.16667,5.54167,0,-10.4345,0.0001,-0.00132217,0.0726707,1.85245,0.130875,49565,0.138254,41.14,-1.2916
