step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
300,0,0,0.0140169,0.0140169,0.0410309,0,0.241032,0,0.0115863,0.0222171,0.00581548,0.0992351,0.00369317,0,0.0362323,0,1.95565,0.0405863,0.0900584,0.0433444,0.100061,1.44781,0.219002,0.246252,0.0682681,0.362334,0,0.088221,0,0,0,0,-0.00143187,0.0826856,0.24099,0.165034,0.00711399,0.0132612,0.00240272,0.000273448,0.10955,0.00504462,-0.863441,-8.05718,8.52212,0.0902416,0.819021,-0.353706,-0.265152,-0.00405344,0,0.291667,128.375,0,0,0,0,0,-11.841,0.0001,0.000228133,0.0621187,1.35623,0.203869,63011,0.103944,24,-2.05672
301,0.020261,0.0132103,0.0374048,0.0374048,0.312634,0.0194222,0.832685,0.0152567,0.0338775,0.0906473,0.0178262,0.276034,0.0131419,0,0.139019,0.00100438,5.99943,0.154576,0.299997,0.141407,0.477196,5.61997,0.835179,0.878808,0.162126,0.820973,0.0251871,0.25942,0,0,0,0,-0.00545854,0.189707,0.838431,0.652954,0.0190948,0.0392009,0.00551243,0.00170696,0.462134,0.0131711,-3.14048,-26.7095,26.6715,0.381047,2.23651,-3.09436,-0.909091,-0.0431736,0.0577416,0.208333,165.333,0,0,0,0,0,-11.8325,0.0001,-0.00108525,0.0135269,1.56994,0.127606,57909,0.104008,24.23,-2.05619
302,0.00841591,0.00600391,0.0414278,0.0414278,0.238446,0.00796064,0.831009,0.00862539,0.0364306,0.0853234,0.0186178,0.309524,0.0142429,0,0.136533,0.00142115,6.33922,0.148332,0.301021,0.149998,0.447391,5.35208,0.788803,0.865774,0.193677,1.01376,0.0111598,0.284161,0.00595238,0.00595238,0,0,-0.00507172,0.221041,0.827614,0.611287,0.0211118,0.0421422,0.00534846,0.000326826,0.411865,0.0143813,-3.8705,-27.7622,28.4773,0.339318,2.4469,-2.0445,-0.909091,-0.0286034,0.0258816,0.0833333,168.5,0,0,0.0833333,0.0833333,0,-11.8237,0.0001,-0.00110699,0.00849216,1.55,0.129275,58539,0.104069,23.97,-2.05484
303,0.00388654,0.00220462,0.0417923,0.0417923,0.237159,0.00374878,0.832369,0.00236219,0.0366371,0.0851313,0.0186437,0.312977,0.0145732,0,0.135811,0.000106914,6.3611,0.147372,0.300088,0.151289,0.453735,5.33629,0.786891,0.864593,0.19816,1.03157,0.0041243,0.286566,0,0,0,0,-0.00516271,0.220521,0.826114,0.606556,0.0213384,0.0425857,0.0053851,0.000279549,0.409328,0.0143232,-3.90102,-27.9654,28.7905,0.334776,2.46968,-1.80921,-0.909091,-0.0271171,0.0096202,0.0416667,166.833,0,0,0,0,0,-11.816,0.0001,-0.00206139,0.00707429,1.61173,0.126818,56543,0.104128,24.37,-2.04607
304,0.0040657,0.00235778,0.0416138,0.0416138,0.239257,0.00382607,0.832502,0.00241885,0.0365951,0.0851319,0.0186159,0.314387,0.0148953,0,0.137017,0.000149273,6.37281,0.146901,0.300994,0.152107,0.45861,5.3324,0.786549,0.865171,0.197964,1.03082,0.00415281,0.288079,0,0,0,0,-0.00520704,0.218335,0.826139,0.606091,0.0213404,0.0425787,0.00526376,0.000173334,0.41012,0.0143426,-4.00714,-27.9582,28.8071,0.334185,2.45691,-1.82815,-0.909091,-0.0272591,0.0102125,0.0416667,165.875,0,0,0.0416667,0,0,-11.8088,0.0001,-0.00205561,0.00670301,1.58293,0.121116,57688,0.104172,24.87,-2.04834
305,0.00379538,0.00210088,0.0416306,0.0416306,0.241012,0.00351124,0.832922,0.00223162,0.0365127,0.0853159,0.018559,0.313918,0.0149799,0,0.136676,0.000121719,6.37937,0.146488,0.300477,0.152364,0.459271,5.3303,0.785106,0.865117,0.19803,1.03695,0.003983,0.287647,0,0,0,0,-0.00520699,0.215613,0.825917,0.607666,0.0212695,0.0425025,0.00519969,0.000123815,0.408571,0.0142871,-4.05928,-27.985,28.8023,0.334702,2.4502,-1.84497,-0.909091,-0.0273778,0.00907317,0.0416667,165.042,0,0,0,0,0,-11.8033,0.0001,-0.00209638,0.00675614,1.57671,0.124256,57793,0.104218,24.56,-2.05619
306,0.00429926,0.00238036,0.0412341,0.0412341,0.246986,0.00390068,0.833296,0.00243248,0.036265,0.0858672,0.0184499,0.312582,0.0150072,0,0.137635,0.00013226,6.35158,0.146185,0.300186,0.152427,0.462517,5.36476,0.7892,0.866401,0.195862,1.02317,0.00438324,0.28681,0,0,0,0,-0.00530285,0.21399,0.825787,0.609667,0.021169,0.0423451,0.00530728,0.00030918,0.41606,0.0142125,-4.0063,-28.018,28.7636,0.335841,2.42947,-1.91825,-0.909091,-0.0283194,0.0103353,0,162.833,0,0,0.0833333,0,0,-11.797,0.0001,-0.00172317,0.00663564,1.56917,0.126584,57970,0.104259,24.53,-2.05529
307,0.00480555,0.00263539,0.0408376,0.0408376,0.254483,0.00438651,0.833728,0.00267357,0.0359388,0.086452,0.0182884,0.309256,0.0150462,0,0.137846,0.00013238,6.31569,0.145495,0.299668,0.151966,0.463744,5.38857,0.791877,0.867686,0.192712,1.0054,0.00486768,0.284318,0,0,0,0,-0.00532578,0.210667,0.826192,0.614068,0.0209108,0.0420228,0.00513128,0.000291327,0.419955,0.0139897,-4.11536,-28.0064,28.6659,0.337988,2.40487,-2.01938,-0.909091,-0.0294061,0.0114487,0,163.667,0,0,0.0416667,0,0,-11.7909,0.0001,-0.00288149,0.00755682,1.5468,0.119134,59008,0.104317,24.53,-2.03523
308,0.00550771,0.00315106,0.0405275,0.0405275,0.258066,0.00516806,0.833244,0.00321838,0.0356982,0.0868791,0.0181565,0.307504,0.0150002,0,0.138303,0.000187608,6.30646,0.145572,0.299548,0.151479,0.466269,5.40176,0.794391,0.868691,0.190134,1.00021,0.00565921,0.283203,0,0,0,0,-0.00543181,0.209547,0.826275,0.616596,0.0207832,0.0418839,0.00508735,0.000357582,0.426173,0.0139137,-4.14322,-28.0325,28.6214,0.33912,2.38352,-2.08292,-0.909091,-0.0299569,0.0136435,0.0833333,161.375,0,0,0.0833333,0,0,-11.7827,0.0001,-0.00226974,0.00801034,1.52492,0.117888,59838,0.10437,24.86,-2.03924
309,0.00724764,0.00421728,0.0399557,0.0399513,0.267714,0.00675766,0.833605,0.00434393,0.0353564,0.0878171,0.0180322,0.304602,0.0149878,0,0.139605,0.00031548,6.24979,0.145308,0.299893,0.150793,0.469551,5.42271,0.79921,0.870543,0.186016,0.977149,0.00743822,0.281434,0.000235405,0.000235405,0,0,-0.00545804,0.205664,0.826261,0.622281,0.0204765,0.041528,0.00501895,0.000461721,0.431615,0.0136942,-4.18427,-28.0837,28.5289,0.341688,2.3525,-2.19522,-0.909091,-0.0315767,0.01821,0.0416667,160.167,0,0,0,0.0833333,0,-11.7759,0.0001,-0.00277081,0.00897559,1.50604,0.120353,60443,0.104425,25.64,-2.02002
